id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
25861505,Wed May 22 2019 18:36:21 GMT-0700 (PDT),22/05/2019,2019-05-23 01:36:21 UTC,Pacific Time (US & Canada),1502485,airamcasaos,,2019-05-27 06:16:49 UTC,2020-12-18 01:17:00 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/25861505,https://inaturalist-open-data.s3.amazonaws.com/photos/40104847/medium.jpg,,,,3,0,false,3,"22163, Tijuana, BC , MX",32.41454053,-116.9451692,74767,,,,74767,,,false,,,Abeja melífera,Apis mellifera,Abeja melífera europea,Insecta,47219
26197576,2019-06-01 11:47:21 a. m. GMT-07:00,01/06/2019,2019-06-01 18:47:21 UTC,Arizona,1668736,rosa_flores,,2019-06-01 19:19:39 UTC,2022-02-01 05:30:13 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/26197576,https://inaturalist-open-data.s3.amazonaws.com/photos/40657750/medium.jpg,,,,3,0,false,2,"Real de Donceles, Real de San Francisco, Francisco Villa 2da Secc, Tijuana, B.C., México",32.48638916,-116.8580551,,,,,,,,false,gps,gps,Abeja melífera europea,Apis mellifera,Abeja melífera europea,Insecta,47219
26828466,2019/06/11 12:40 PM PDT,11/06/2019,2019-06-11 19:40:00 UTC,Pacific Time (US & Canada),1864756,luisvargas1999,Luis Javier Vargas,2019-06-11 21:26:02 UTC,2022-02-01 05:30:14 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/26828466,https://inaturalist-open-data.s3.amazonaws.com/photos/41681580/medium.jpg,,,,4,0,false,,"Lomas Hipodromo, 22030 Tijuana, B.C., Mexico",32.49513,-116.992232,111,,,,111,,,false,,,Western Honey Bee,Apis mellifera,Abeja melífera europea,Insecta,47219
31101108,2019/08/04 11:12 AM PDT,04/08/2019,2019-08-04 18:12:00 UTC,Tijuana,504025,erandi_mtz,,2019-08-19 03:40:17 UTC,2022-11-02 01:02:54 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/31101108,https://inaturalist-open-data.s3.amazonaws.com/photos/48642624/medium.jpeg,,,,4,0,false,,"Tijuana, B.C., México",32.52215802,-116.9773399,4,,,,4,,,false,,,Western Honey Bee,Apis mellifera,Abeja melífera europea,Insecta,47219
32327662,2019-09-07 10:10:32 a. m. GMT-07:00,07/09/2019,2019-09-07 17:10:32 UTC,Arizona,14700,eugenia_tutor,Eugenia - Tutor,2019-09-08 07:30:58 UTC,2020-12-18 03:57:28 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/32327662,https://inaturalist-open-data.s3.amazonaws.com/photos/50692739/medium.jpeg,,,,3,0,false,2,"Terrazas, Tijuana, B.C., México",32.53230051,-117.1149133,9,,,,9,,,false,gps,gps,Western Honey Bee,Apis mellifera,Abeja melífera europea,Insecta,47219
32621111,2019-09-07 9:37:37 AM PDT,07/09/2019,2019-09-07 16:37:37 UTC,Pacific Time (US & Canada),2218683,carlosnevarez,Carlos Nevarez,2019-09-13 01:26:23 UTC,2022-01-08 16:19:42 UTC,research,,https://www.inaturalist.org/observations/32621111,https://static.inaturalist.org/photos/51178867/medium.jpeg,,,,5,0,false,2,"Playas, Dorada, Tijuana, B.C., Mexico",32.5233345,-117.1080551,,,,,,,,false,gps,gps,Sonoran Bumble Bee,Bombus sonorus,abejorro zumbador,Insecta,57690
34684343,2019-10-20 3:15:00 PM PDT,20/10/2019,2019-10-20 22:15:00 UTC,Pacific Time (US & Canada),2382094,srsvivos,srsvivos,2019-10-21 12:01:57 UTC,2020-12-18 04:54:32 UTC,research,CC-BY,https://www.inaturalist.org/observations/34684343,https://inaturalist-open-data.s3.amazonaws.com/photos/54617041/medium.jpeg,,,,4,0,false,2,"Baja Maq el Aguila, 22215 Tijuana, B.C., México",32.50079566,-116.8999584,3,,,,3,,,false,gps,gps,Western Honey Bee,Apis mellifera,Abeja melífera europea,Insecta,47219
34800033,12/10/2019,12/10/2019,,Pacific Time (US & Canada),668716,luck,lucky,2019-10-23 20:50:42 UTC,2021-08-23 16:12:24 UTC,research,CC-BY,https://www.inaturalist.org/observations/34800033,https://inaturalist-open-data.s3.amazonaws.com/photos/54813112/medium.jpeg,,,"Little friend got trapped in an orange juice Tetra pak, then found itself in the mouth of an unsuspecting human who took a big gulp of juice. Human thought fast and scooped it out of his mouth but didn't know what to do next. I took over I gave it a place to dry out, recover and groom. It became clear after a while that it needed a little gentle attending with a damp napkin to get its wings unstuck. It climbed up my arm and kept busy undoing the sticky pickle it had gotten into. After an hour it was in full flying form and flew away, presumably to rejoin the hive. Happy ending!",3,0,false,2,,32.44738017,-117.1310081,44,,,,29093,obscured,,true,gps,gps,Western Honey Bee,Apis mellifera,Abeja melífera europea,Insecta,47219
34886385,2019-09-15 3:14:39 PM PDT,15/09/2019,2019-09-15 22:14:39 UTC,Pacific Time (US & Canada),2240951,georginalopez1,Georgina Lopez,2019-10-25 21:11:18 UTC,2022-02-01 05:31:24 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/34886385,https://inaturalist-open-data.s3.amazonaws.com/photos/54963574/medium.jpg,,,,3,0,false,2,"Salvatierra, Tijuana, B.C., México",32.48393592,-117.0661901,4,,,,4,,,false,,,Western Honey Bee,Apis mellifera,Abeja melífera europea,Insecta,47219
38137773,Wed Oct 17 2018 14:41:03 GMT-0700 (PDT),17/10/2018,2018-10-17 21:41:03 UTC,Pacific Time (US & Canada),2558767,daniel1815,Daniel Valdez,2020-01-31 06:04:22 UTC,2020-12-18 04:36:45 UTC,research,,https://www.inaturalist.org/observations/38137773,https://static.inaturalist.org/photos/60570645/medium.jpg,,,,4,0,false,3,"Avenida Guerrero Negro, Tijuana, BC , MX",32.44444167,-116.9830467,,,,,,,,false,,,Western Honey Bee,Apis mellifera,Abeja melífera europea,Insecta,47219
38417118,Thu Feb 06 2020 12:32:57 GMT-0800 (PST),06/02/2020,2020-02-06 12:32:57 UTC,UTC,2569461,millietj,,2020-02-08 08:46:51 UTC,2022-02-01 05:29:31 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/38417118,https://inaturalist-open-data.s3.amazonaws.com/photos/61051862/medium.jpg,,,,4,0,false,3,"Universidad Xochicalco - Campus Tijuana, Tijuana, BC , MX",32.51344667,-116.9584367,7,,,,7,,,false,,,Abeja melífera europea,Apis mellifera,Abeja melífera europea,Insecta,47219
38585729,2020/01/31 8:17 AM PST,31/01/2020,2020-01-31 16:17:00 UTC,Pacific Time (US & Canada),1804431,alejgomez,alejandro gomez,2020-02-12 23:12:30 UTC,2020-12-17 21:09:03 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/38585729,https://inaturalist-open-data.s3.amazonaws.com/photos/61344326/medium.jpg,,,burst,4,0,false,,"Valle del Sur 2, Tijuana, B.C., México",32.47166443,-117.0391235,,,,,,,,false,,,Abeja melífera europea,Apis mellifera,Abeja melífera europea,Insecta,47219
41349467,2020-04-03 3:23:50 PM PDT,03/04/2020,2020-04-03 22:23:50 UTC,Pacific Time (US & Canada),1120822,tatianaesquerra,Tatiana Esquerra,2020-04-04 07:57:36 UTC,2020-12-18 00:23:45 UTC,research,,https://www.inaturalist.org/observations/41349467,https://static.inaturalist.org/photos/65589358/medium.jpeg,,,,3,0,false,2,"Tijuana, MX-BN, MX",32.54831633,-116.9584551,18,,,,18,,,false,,,Western Honey Bee,Apis mellifera,Abeja melífera europea,Insecta,47219
41573187,2020/04/05 12:52 PM PDT,05/04/2020,2020-04-05 19:52:00 UTC,Pacific Time (US & Canada),1935956,alex_vchiu,,2020-04-07 00:48:09 UTC,2022-01-08 20:08:51 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/41573187,https://inaturalist-open-data.s3.amazonaws.com/photos/65959625/medium.jpg,,,,1,0,false,,"El Valle, Tijuana, B.C., Mexico",32.4814431,-116.96243,659,,,,659,,,false,,,Metallic Sweat Bees,Dialictus,Abejas metálicas del sudor,Insecta,126545
44209973,2020/04/29 3:53 AM +0200,29/04/2020,2020-04-28 23:53:00 UTC,Pretoria,736516,rosyrubio,Rosy Rubio,2020-04-29 02:18:11 UTC,2022-01-08 18:07:00 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/44209973,https://inaturalist-open-data.s3.amazonaws.com/photos/70091110/medium.jpeg,,,"Abeja europea o abeja melífera occidental
La abeja europea (Apis mellifera) es probablemente una de las especies de abejas melíferas más populares y fue clasificada por Carl Nilsson Linnaeus en 1758. Existen hasta 20 especies reconocidas y es originaria de Europa, África y Asia, aunque actualmente se ha extendido en todos los continentes, exceptuando en la Antártida. [1]",5,1,false,,"Tijuana, B.C., México",32.5149469,-117.0382471,25421,,,,25421,,,false,,,Abeja melífera europea,Eucerini,Abejas cornudas,Insecta,121514
45917134,Thu May 14 2020 15:19:04 GMT-0700 (PDT),14/05/2020,2020-05-14 22:19:04 UTC,Pacific Time (US & Canada),2622836,karenvs6,,2020-05-14 22:19:43 UTC,2020-12-18 01:35:08 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/45917134,https://inaturalist-open-data.s3.amazonaws.com/photos/72824987/medium.jpg,,,,4,0,false,3,"Vía del Adriático, Tijuana, BC , MX",32.48499736,-116.988991,65,,,,65,,,false,,,Western Honey Bee,Apis mellifera,Abeja melífera europea,Insecta,47219
47579540,2019/09/08 4:26 PM CDT,08/09/2019,2019-09-08 21:26:00 UTC,Mexico City,14700,eugenia_tutor,Eugenia - Tutor,2020-05-28 01:36:50 UTC,2022-01-08 16:21:00 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/47579540,https://inaturalist-open-data.s3.amazonaws.com/photos/75466009/medium.jpeg,,,,1,0,false,,"Playas, Jardines Playas de Tijuana, Tijuana, B.C., México",32.52315333,-117.1241517,,,,,,,,false,,,Striped Sweat Bees,Agapostemon,Abejas verde metálico,Insecta,50086
47675183,2020-05-28 4:00:36 PM PDT,28/05/2020,2020-05-28 23:00:36 UTC,Pacific Time (US & Canada),2382094,srsvivos,srsvivos,2020-05-28 23:04:22 UTC,2021-07-31 00:01:25 UTC,needs_id,CC-BY,https://www.inaturalist.org/observations/47675183,https://inaturalist-open-data.s3.amazonaws.com/photos/75622112/medium.jpeg,,,,0,0,false,2,"Emperadores, 22117 Tijuana, B.C., México",32.48826766,-116.9650945,3,,,,3,,,false,gps,gps,Hylaeus modestus,Hylaeus modestus,Hylaeus modestus,Insecta,199048
49634709,2020-06-14 10:11:29 AM PDT,14/06/2020,2020-06-14 17:11:29 UTC,Pacific Time (US & Canada),382312,dmariana,Mariana Delgado-Fernández,2020-06-14 20:45:23 UTC,2022-03-04 00:20:36 UTC,needs_id,,https://www.inaturalist.org/observations/49634709,https://static.inaturalist.org/photos/78795557/medium.jpeg,,,,5,0,false,2,"Tijuana, B.C., México",32.384951,-116.906325,,,,,,,,false,gps,gps,Bumble Bees,Bombus,Abejorros,Insecta,52775
50365023,Sun Jun 07 2020 16:08:38 GMT-0700 (PDT),07/06/2020,2020-06-07 23:08:38 UTC,Pacific Time (US & Canada),767939,biocowboy,Jorge Ayón,2020-06-21 04:07:45 UTC,2022-01-08 19:41:14 UTC,needs_id,,https://www.inaturalist.org/observations/50365023,https://static.inaturalist.org/photos/79975146/medium.jpg,,,,2,0,false,3,"Calle Eduardo 3 Guerras, Tijuana, BC , MX",32.54543607,-116.9275205,24,,,,24,,,false,,,Metallic Sweat Bees,Dialictus,Abejas metálicas del sudor,Insecta,126545
53397657,17/07/2020,17/07/2020,,Pacific Time (US & Canada),1526858,igmi,IgMi VeMa,2020-07-17 19:51:29 UTC,2022-07-13 09:47:30 UTC,needs_id,,https://www.inaturalist.org/observations/53397657,https://static.inaturalist.org/photos/84927268/medium.jpg,,,,4,0,false,2,"Mar Vista, Tijuana, B.C., México",32.51281893,-117.1032785,679,,,,679,,,false,gps,gps,Agapostemon,Agapostemon,Agapostemon,Insecta,606634
55662298,2020/08/05 6:51 PM PDT,05/08/2020,2020-08-06 01:51:00 UTC,Pacific Time (US & Canada),63271,cgv_rama,César García Valderrama,2020-08-07 01:54:44 UTC,2023-01-28 01:52:24 UTC,needs_id,,https://www.inaturalist.org/observations/55662298,https://static.inaturalist.org/photos/88649953/medium.png,,,,3,1,false,,"Playas, Playas Coronado, Tijuana, B.C., Mexico",32.503214,-117.1193932,22,,,,22,,,false,,,Halictini,Halictini,Abejitas del sudor,Insecta,335597
58395894,2020-09-02 3:05:27 PM PDT,02/09/2020,2020-09-02 22:05:27 UTC,Pacific Time (US & Canada),2382094,srsvivos,srsvivos,2020-09-03 05:42:20 UTC,2022-02-01 05:31:14 UTC,research,CC-BY,https://www.inaturalist.org/observations/58395894,https://inaturalist-open-data.s3.amazonaws.com/photos/93229952/medium.jpeg,,,,3,0,false,2,"Emperadores, 22117 Tijuana, B.C., México",32.48850861,-116.9675313,3,,,,3,,,false,gps,gps,Western Honey Bee,Apis mellifera,Abeja melífera europea,Insecta,47219
59357681,Sat Sep 12 2020 10:25:24 GMT-0700 (PDT),12/09/2020,2020-09-12 17:25:24 UTC,Pacific Time (US & Canada),1493684,aranza1,Aranza Ilescas,2020-09-12 19:38:50 UTC,2022-04-05 02:02:27 UTC,research,,https://www.inaturalist.org/observations/59357681,https://static.inaturalist.org/photos/94837613/medium.jpg,,,,4,1,false,3,"Tijuana, BC , MX",32.53344667,-116.8802117,14,,,,14,,open,false,,,Yellow-faced Bumble Bee,Bombus vosnesenskii,Abejorro de cara amarilla,Insecta,57689
59493376,2020-09-13 11:03:31 AM PDT,13/09/2020,2020-09-13 11:03:31 UTC,UTC,2382094,srsvivos,srsvivos,2020-09-13 20:24:32 UTC,2022-01-08 17:29:06 UTC,needs_id,CC-BY,https://www.inaturalist.org/observations/59493376,https://inaturalist-open-data.s3.amazonaws.com/photos/95065041/medium.jpeg,,,,0,0,false,2,"Emperadores, 22117 Tijuana, B.C., México",32.48851512,-116.9675041,3,,,,3,,,false,,,Megachile policaris,Megachile policaris,Megachile policaris,Insecta,271779
59590436,2020-09-13 9:49:28 AM PDT,13/09/2020,2020-09-13 16:49:28 UTC,Pacific Time (US & Canada),2382094,srsvivos,srsvivos,2020-09-14 16:58:49 UTC,2022-10-06 02:50:55 UTC,needs_id,CC-BY,https://www.inaturalist.org/observations/59590436,https://inaturalist-open-data.s3.amazonaws.com/photos/95223584/medium.jpeg,,,,3,0,false,2,"Emperadores, 22117 Tijuana, B.C., México",32.48856913,-116.967538,3,,,,3,,,false,gps,gps,Halictini,Halictini,Abejitas del sudor,Insecta,335597
60299068,2020-09-20 3:20:20 PM PDT,20/09/2020,2020-09-20 22:20:20 UTC,Pacific Time (US & Canada),2382094,srsvivos,srsvivos,2020-09-21 08:45:59 UTC,2022-02-01 05:31:08 UTC,research,CC-BY,https://www.inaturalist.org/observations/60299068,https://inaturalist-open-data.s3.amazonaws.com/photos/96407857/medium.jpeg,,,,3,0,false,2,"Emperadores, 22117 Tijuana, B.C., México",32.48832253,-116.964789,3,,,,3,,,false,gps,gps,Abeja melífera europea,Apis mellifera,Abeja melífera europea,Insecta,47219
63844658,Fri Oct 30 2020 12:32:11 GMT-0700 (PDT),30/10/2020,2020-10-30 19:32:11 UTC,Pacific Time (US & Canada),23646,annyperalta,Anny Peralta,2020-10-30 21:23:18 UTC,2022-10-07 17:04:22 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/63844658,https://inaturalist-open-data.s3.amazonaws.com/photos/102536462/medium.jpg,,,,3,0,false,3,"Avenida Parque Azteca N, Tijuana, BC , MX",32.52029667,-117.1220472,4,,,,4,,,false,,,Ligated Furrow Bee,Halictus ligatus,Halictus ligatus,Insecta,154298
69270689,2021-01-26 1:11:21 PM PST,26/01/2021,2021-01-26 13:11:21 UTC,UTC,2855773,kevinplantas,Kevin Díaz,2021-02-08 20:25:47 UTC,2022-01-08 19:15:42 UTC,research,,https://www.inaturalist.org/observations/69270689,https://static.inaturalist.org/photos/112371978/medium.jpeg,,,,1,0,false,2,,32.51270888,-117.1051563,28,,,,29093,obscured,,true,gps,gps,Agapostemon texanus,Agapostemon texanus,Agapostemon texanus,Insecta,133797
70759127,Sun Mar 07 2021 11:15:54 GMT-0800 (PST),07/03/2021,2021-03-07 11:15:54 UTC,UTC,4045397,ricardo_chavez1,Ricardo Chavez,2021-03-07 19:17:30 UTC,2022-09-07 04:31:33 UTC,research,,https://www.inaturalist.org/observations/70759127,https://static.inaturalist.org/photos/115120527/medium.jpg,,,,4,0,false,3,"Avenida Alta Brisa, Tijuana, BC , MX",32.53091135,-116.9739151,50,,,,50,,,false,,,Abeja melífera europea,Apis mellifera,Abeja melífera europea,Insecta,47219
71173834,Sat Mar 13 2021 06:37:51 GMT-0800 (PST),13/03/2021,2021-03-13 06:37:51 UTC,UTC,4043534,tansyz,,2021-03-14 00:17:47 UTC,2022-10-09 07:06:04 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/71173834,https://inaturalist-open-data.s3.amazonaws.com/photos/115836215/medium.jpg,,,"Yellow/black, type of bee, fully grown ",2,0,false,3,"Pacific Ocean, BC , MX",32.51115833,-117.1240167,5,,,,5,,,false,,,Abeja melífera europea,Apis mellifera,Abeja melífera europea,Insecta,47219
71442297,2021-03-16 3:09:58 PM PDT,16/03/2021,2021-03-16 22:09:58 UTC,Pacific Time (US & Canada),4114047,psantos,,2021-03-17 20:22:09 UTC,2022-02-01 05:22:55 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/71442297,https://inaturalist-open-data.s3.amazonaws.com/photos/116317062/medium.jpeg,,,,3,0,false,2,Urbiquinta Del Cedro,32.437207,-117.0661688,948,,,,948,,,false,gps,gps,Abeja melífera europea,Apis mellifera,Abeja melífera europea,Insecta,47219
